MSA,Pop_Total,Median_Rent,Median_Income,Median_Home_Value,wiki_url,wiki_thumb_url,Name
18420,34717,700,47716,125800,"https://en.wikipedia.org/wiki/Corinth,_Mississippi","https://en.wikipedia.org/wiki/Corinth,_Mississippi#/media/File:Landscape_Downtown_Corinth_MS.jpg","Corinth, MS"
18460,46326,861,61292,188800,"https://en.wikipedia.org/wiki/Cornelia,_Georgia","https://en.wikipedia.org/wiki/Cornelia,_Georgia#/media/File:Downtown_Cornelia%2C_Georgia.JPG","Cornelia, GA"
18500,93584,832,62506,121000,"https://en.wikipedia.org/wiki/Corning,_New_York","https://en.wikipedia.org/wiki/Corning,_New_York#/media/File:Corning%2C_NY.jpg","Corning, NY"
18580,422187,1183,64005,175100,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas#/media/File:Corpus_Christi_bay.jpg","Corpus Christi, TX"
18620,52834,978,56261,142300,"https://en.wikipedia.org/wiki/Corsicana,_Texas","https://en.wikipedia.org/wiki/Corsicana,_Texas#/media/File:Navarro_County_Corsicana.svg","Corsicana, TX"
18660,46755,884,65029,148200,"https://en.wikipedia.org/wiki/Cortland,_New_York","https://en.wikipedia.org/wiki/Cortland,_New_York#/media/File:Cortland_birds_eye.jpg","Cortland, NY"
18700,95615,1315,72882,442300,"https://en.wikipedia.org/wiki/Corvallis,_Oregon","https://en.wikipedia.org/wiki/Corvallis,_Oregon#/media/File:Benton_County_Courthouse_Greg_Keene.jpg","Corvallis, OR"
18740,36629,694,52048,128600,"https://en.wikipedia.org/wiki/Coshocton_County,_Ohio","https://en.wikipedia.org/wiki/Coshocton_County,_Ohio#/media/File:Coshocton_County_Courthouse_rear.jpg","Coshocton, OH"
18780,13232,974,63983,247500,"https://en.wikipedia.org/wiki/Craig,_Colorado","https://en.wikipedia.org/wiki/Craig,_Colorado#/media/File:Craig%2C_Colorado.JPG","Craig, CO"
18820,38018,787,62937,156400,"https://en.wikipedia.org/wiki/Crawfordsville,_Indiana","https://en.wikipedia.org/wiki/Crawfordsville,_Indiana#/media/File:Montgomery_County_Courthouse%2C_2018.jpg","Crawfordsville, IN"
18860,27462,1146,61149,282500,"https://en.wikipedia.org/wiki/Crescent_City,_California","https://en.wikipedia.org/wiki/Crescent_City,_California#/media/File:Crescent_City_California_harbor_aerial_view.jpg","Crescent City, CA"
18880,288639,1391,74279,301500,https://en.wikipedia.org/wiki/Crestview–Fort_Walton_Beach–Destin_metropolitan_area,https://en.wikipedia.org/wiki/Crestview–Fort_Walton_Beach–Destin_metropolitan_area#/media/File:Map_of_Florida_highlighting_Okaloosa_County.svg,"Crestview-Fort Walton Beach-Destin, FL"
18900,61552,786,56002,199800,"https://en.wikipedia.org/wiki/Crossville,_Tennessee","https://en.wikipedia.org/wiki/Crossville,_Tennessee#/media/File:Crossville-Main-Street-tn1.jpg","Crossville, TN"
18980,88284,848,58119,166000,"https://en.wikipedia.org/wiki/Cullman,_Alabama","https://en.wikipedia.org/wiki/Cullman,_Alabama#/media/File:Cullman-aerial-real-estate-photography_%2821_of_21%29.1.jpg","Cullman, AL"
19000,56518,785,51758,228500,"https://en.wikipedia.org/wiki/Cullowhee,_North_Carolina","https://en.wikipedia.org/wiki/Cullowhee,_North_Carolina#/media/File:Cullowhee_from_Airport_Road%2C_Cullowhee%2C_NC.jpg","Cullowhee, NC"
19060,95118,735,57539,149400,"https://en.wikipedia.org/wiki/Cumberland,_Maryland","https://en.wikipedia.org/wiki/Cumberland,_Maryland#/media/File:Cumberland_Aerial_2022.jpg","Cumberland, MD-WV"
19100,7673379,1409,83398,299000,https://en.wikipedia.org/wiki/Dallas–Fort_Worth_metroplex,https://en.wikipedia.org/wiki/Dallas–Fort_Worth_metroplex#/media/File:View_of_Dallas_from_Reunion_Tower_August_2015_13.jpg,"Dallas-Fort Worth-Arlington, TX"
19140,143096,833,60017,168500,"https://en.wikipedia.org/wiki/Dalton,_Georgia","https://en.wikipedia.org/wiki/Dalton,_Georgia#/media/File:Whitfield_County_Georgia_Incorporated_and_Unincorporated_areas_Dalton_Highlighted.svg","Dalton, GA"
19180,74113,769,52787,91000,"https://en.wikipedia.org/wiki/Danville,_Illinois","https://en.wikipedia.org/wiki/Danville,_Illinois#/media/File:Vermilion_County_Courthouse.jpg","Danville, IL"
19220,54933,737,53228,151600,"https://en.wikipedia.org/wiki/Danville,_Kentucky","https://en.wikipedia.org/wiki/Danville,_Kentucky#/media/File:Danville%2C_Kentucky_Downtown_view.jpg","Danville, KY"
19260,103048,795,46853,128400,"https://en.wikipedia.org/wiki/Danville,_Virginia","https://en.wikipedia.org/wiki/Danville,_Virginia#/media/File:DANVILLE.jpg","Danville, VA"
19300,233420,1160,71039,266000,"https://en.wikipedia.org/wiki/Baldwin_County,_Alabama","https://en.wikipedia.org/wiki/Baldwin_County,_Alabama#/media/File:Baldwin_County_Courthouse_Bay_Minette_June_2013_1.jpg","Daphne-Fairhope-Foley, AL"
19340,382983,875,68395,161800,https://en.wikipedia.org/wiki/Quad_Cities,https://en.wikipedia.org/wiki/Quad_Cities#/media/File:Quad_Cities_Montage.jpg,"Davenport-Moline-Rock Island, IA-IL"
19420,33031,780,55568,155800,"https://en.wikipedia.org/wiki/Dayton,_Tennessee","https://en.wikipedia.org/wiki/Dayton,_Tennessee#/media/File:Rhea_County_Tennessee_Incorporated_and_Unincorporated_areas_Dayton_Highlighted_4719700.svg","Dayton, TN"
19430,812506,941,67088,171200,https://en.wikipedia.org/wiki/Dayton_metropolitan_area,https://en.wikipedia.org/wiki/Dayton_metropolitan_area#/media/File:Dayton_Skyline.jpg,"Dayton-Kettering, OH"
19460,156218,772,60036,166400,"https://en.wikipedia.org/wiki/Decatur,_Alabama","https://en.wikipedia.org/wiki/Decatur,_Alabama#/media/File:Decatur%2C_Alabama_%282023%29.jpg","Decatur, AL"
19500,103542,774,59622,119800,"https://en.wikipedia.org/wiki/Decatur,_Illinois","https://en.wikipedia.org/wiki/Decatur,_Illinois#/media/File:Downtown-MerchantRsz.jpg","Decatur, IL"
19540,35827,762,61731,164500,https://en.wikipedia.org/wiki/ERROR,,"Decatur, IN"
19580,38300,808,69302,147600,"https://en.wikipedia.org/wiki/Defiance,_Ohio","https://en.wikipedia.org/wiki/Defiance,_Ohio#/media/File:Defiance%2C_Ohio.jpg","Defiance, OH"
19620,47693,913,57250,138500,"https://en.wikipedia.org/wiki/Del_Rio,_Texas","https://en.wikipedia.org/wiki/Del_Rio,_Texas#/media/File:City_Hall_Municipal_Building.jpg","Del Rio, TX"
19660,676035,1311,64197,259700,"https://en.wikipedia.org/wiki/Ormond_Beach,_Florida","https://en.wikipedia.org/wiki/Ormond_Beach,_Florida#/media/File:Volusia_County_Florida_Incorporated_and_Unincorporated_areas_Ormond_Beach_Highlighted.svg","Deltona-Daytona Beach-Ormond Beach, FL"
